"Month","Year","Consumer Confidence Index TX","Consumer Confidence West South Central","Consumer Confidence Index US","PCE Deflator","Consumer Price Index TX","Consumer Price Index U.S.","CPI U.S. Ex Food and Energy","Nonfarm Employment TX","Nonfarm Employment U.S.","Unemployment TX","Unemployment U.S.","Single Family Building Permits TX","Multi Family Building Permits TX","Existing Single Family Home Sales TX","Existing Single Family Home Price TX","Non Residential Building Construction","Total Sales Tax Collections Retail TX","Total Sales Tax Collections TX","Retail Gasoline Price TX","Retail Diesel Price TX","Nonfarm Employment Illinois","Nonfarm Employment Florida","Nonfarm Employment New York","Nonfarm Employment Texas","Nonfarm Employment California","Gross Value Crude Oil Production","Gross Value Natural Gas Production","Motor Fuel Taxed Gasoline","Motor Fuel Taxed Diesel"
"9","2012","83.7","78.5","68.4","106.576","209.451","231.407","230.78","10.955","134.552","6.5","7.8","5929","3147","19965","157500","1393.7","864.7","1966.3","3.6","4","5769.4","7423.4","8816.2","10955.3","14823.3","$5106.95","$2324.52","1063.7","355"
"10","2012","92","84.2","73.1","106.886","209.044","231.317","231.276","10.98","134.684","6.4","7.8","6593","5008","20919","155000","1372.2","860.4","2036.6","3.5","4","5763.6","7448.5","8829.8","10980","14863.9","$5227.06","$2629.16","993.1","331.5"
"11","2012","103.2","97.8","71.5","106.768","208.036","230.221","231.263","11.009","134.833","6.4","7.7","5618","3983","19024","158000","1151.9","1080.4","2346.4","3.2","3.9","5778.6","7459.4","8803.4","11009.3","14900","$5043.81","$2765.76","1047.3","386.9"
"12","2012","99.6","95.9","66.7","106.758","207.402","229.601","231.033","11.037","135.076","6.4","7.9","5111","5596","19456","161000","1436.4","1033.5","2172.8","3.1","3.9","5778.5","7469.4","8844","11037.4","14924.4","$5140.10","$2820.73","1008.4","310.8"
"1","2013","96.1","95.3","58.4","106.922","208.386","230.28","231.612","11.042","135.266","6.4","8","6596","4034","15590","148500","1307.4","965.8","2133.5","3.2","3.8","5781.1","7485","8852.9","11041.9","14965.1","$5582.28","$2693.84","1018.1","325.9"
"2","2013","93.8","87.3","68","107.333","210.581","232.166","232.432","11.098","135.577","6.4","7.7","6644","4721","17474","155000","945.4","878.9","2091.4","3.5","4","5793.6","7507.3","8870.7","11097.6","15004.2","$5166.71","$2470.36","973.2","329.4"
"3","2013","99.7","90.1","61.9","107.244","211.359","232.773","233.052","11.127","135.712","6.4","7.5","7471","4021","23433","162500","1335.6","990.2","1986.5","3.6","4","5793.2","7521.2","8889.1","11127","15035.5","$6059.01","$2796.89","933.7","289.5"
"4","2013","119.9","106.3","69","107.128","211.873","232.531","233.236","11.144","135.904","6.3","7.6","8590","4529","25705","169950","1214.8","987","2161.7","3.4","3.8","5779.4","7534.6","8914.2","11144.1","15076.9","$5995.56","$3023.78","1069.6","368.4"
"5","2013","96.8","94.8","74.3","107.244","211.773","232.945","233.462","11.162","136.122","6.2","7.5","8088","4106","29628","175000","1412.3","968","2268.4","3.4","3.8","5792.3","7549.4","8910.4","11161.8","15106.9","$6493.93","$3242.38","1035.8","348.6"
"6","2013","117.3","98.9","82.1","107.479","212.034","233.504","233.64","11.192","136.268","6.1","7.5","7719","3285","28130","179000","1457.8","980.5","2173.7","3.4","3.8","5798.3","7572.7","8917.6","11191.7","15126.5","$6299.35","$3054.51","1081.5","360.5"
"7","2013","116.9","109.8","81","107.587","212.47","233.596","233.792","11.217","136.408","6.1","7.3","8060","4717","30112","178000","2252.8","936.1","2208.6","3.4","3.8","5801.8","7590.3","8926.4","11217.1","15156.2","$7341.78","$3004.37","1059.2","340.4"
